Chapter,Family,Name,Amount,Ingredient,Notes
Classic Cocktails,Screwdrivers,Screwdriver,1 oz,vodka,
,,,4 oz,orange juice,
,,,some,ice cubes,ice
,,,1,rocks glass,glass
,,Harvey Wallbanger,1 oz,vodka,
,,,0.5 oz,Galliano,
,,,4 oz,orange juice,
,,,some,ice cubes,ice
,,,1,highball glass,glass
,,Melon Ball,1 oz,vodka,
,,,0.5 oz,Midori melon liqueur,
,,,4 oz,orange juice,
,,,1,melon ball,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
,,Fuzzy Navel,1 oz,vodka,
,,,0.5 oz,peach schnapps,
,,,4 oz,orange juice,
,,,some,ice cubes,ice
,,,1,highball glass,glass
,,Green Eyes,1 oz,vodka,
,,,4 oz,orange juice,
,,,0.5 oz,blue curacao,
,,,2,maraschino cherries,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
,,Blood Orange Screwdriver,1 oz,vodka,
,,,4 oz,orange juice,
,,,0.5 oz,Campari,
,,,1,blood orange wedge,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
,Collins Cocktails,Tom Collins,1.5 oz,gin,
,,,2 oz,lime juice,
,,,0.25 oz,simple syrup,
,,,1 oz,club soda,
,,,1,lime wedge,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
,,John Collins,1.5 oz,rye whiskey,
,,,2 oz,lime juice,
,,,0.25 oz,simple syrup,
,,,1 oz,club soda,
,,,1,lime wedge,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
,,Juan Collins,1.5 oz,tequila,
,,,2 oz,lime juice,
,,,0.25 oz,simple syrup,
,,,1 oz,club soda,
,,,1,lime wedge,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
,,Comrade Collins,1.5 oz,vodka,
,,,2 oz,lime juice,
,,,0.25 oz,simple syrup,
,,,1 oz,club soda,
,,,1,lime wedge,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
,,Sandy Collins,1.5 oz,scotch,
,,,2 oz,lime juice,
,,,0.25 oz,simple syrup,
,,,1 oz,club soda,
,,,1,lime wedge,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
,,Jack Collins,1.5 oz,applejack liqueur,
,,,2 oz,lime juice,
,,,0.25 oz,simple syrup,
,,,1 oz,club soda,
,,,1,lime wedge,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
,,Pedro Collins,1.5 oz,rum,
,,,2 oz,lime juice,
,,,0.25 oz,simple syrup,
,,,1 oz,club soda,
,,,1,lime wedge,garnish
,,,1,highball glass,glass
,,,some,ice cubes,ice
,Cape Cod Cocktails,Cape Cod,1 oz,vodka,
,,,4 oz,red cranberry juice,
,,,1 oz,club soda,
,,,1,lime wedge,garnish
,,,some,ice cubes,ice
,,,1,rocks glass,glass
